name,city,median_income,pct_bachelors_plus,pct_age_20_40,rent_index,rent_yoy_growth,independent_coffee_count_2mi,chain_coffee_count_2mi,transit_score,university_score,coworking_score,latte_price_12oz
Neighborhood 001,San Francisco,102628.3643802946,96.71450519132333,50.219911598689364,150.9813796401707,0.06368242060990398,6,3,75.16592892864517,62.76366324927018,72.91679495694876,7.34
Neighborhood 002,Sacramento,82969.55567507399,73.63031354570603,50.834574221958334,103.48130285068893,0.05644543546471729,2,3,70.16895990687091,60.237561168538996,66.565391525619,6.5
Neighborhood 003,San Jose,96073.82363138185,79.28253610184241,44.18865896229379,122.63465033092295,0.05611521872808592,10,4,60.27020053163847,30.970958621007817,62.00981310799418,6.89
Neighborhood 004,Long Beach,92507.46695896586,70.19666930971098,68.2124522392464,112.12773247032369,0.036702721757834254,2,2,83.15963469463473,31.602265022188682,49.79347854150353,6.6
Neighborhood 005,Long Beach,83792.66275581924,57.60982467199322,61.44605662770083,112.33332763481471,0.059740954888839355,8,3,63.91050936300337,72.18764415417758,60.948679944234826,6.13
Neighborhood 006,Sacramento,66250.84746043864,52.92785349766079,49.59584463648668,97.35460939018016,0.07278216604446242,5,6,62.52034522810292,51.46627452956219,48.08297226398854,5.46
Neighborhood 007,San Francisco,108380.23127522909,76.96954812609476,53.05443697976266,157.07105501266543,0.0496581894313252,10,4,64.60175214636816,86.50599726035963,47.751360451391164,7.53
Neighborhood 008,San Jose,111006.57512564662,76.4485538942637,55.9641469329595,138.03868521770585,0.03220821846781308,2,4,56.86217159685499,50.98577806738538,73.82263559298418,7.43
Neighborhood 009,Berkeley,98178.84089632182,87.6424750999978,55.706288339466276,147.03309390365524,0.04862748486769175,7,6,59.71151583243816,67.48089006462612,77.13195069243527,7.04
Neighborhood 010,San Francisco,105591.94983905087,68.6743987323521,60.86133855618564,142.25102705768523,0.04689428764715288,10,2,64.78101251854363,66.34799991692917,87.4517670216783,7.19
Neighborhood 011,Oakland,91766.11015681048,88.9960381845557,62.04336252126633,123.48612714523881,0.07306287983005398,2,1,59.7760733741718,66.2876934058125,73.97802144947761,6.42
